id,text
tam_test_1,தலைவா இதுக்குதான் கதுருந்தோம் மாஸ் தலைவா  டீம்
tam_test_2,நாயுடு மக்கள் சார்பாக திரைப்படம் வெற்றி பெற வாழ்த்துக்கள் ...
tam_test_3,தில்லானா முயற்சி  தஞ்சை கோனார்
tam_test_4,திரௌபதியின் துகிலுறித்த போது காத்த கண்ணனின் யாதவ குலம் சார்பாக திரைப்படம் வெற்றி பெற நெஞ்சார்ந்த வாழ்த்துக்கள்
tam_test_5,நான் தியேட்டர்லே படம் பார்த்து 35 வருஷமாச்சு! எப்படா திரௌபதி ரிலீஸ் ஆகுமின்னு எதிர்பாத்திட்ரிக்கேன்.
tam_test_6,கொங்கு வேளாளர் கவுண்டர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்  கோயம்புத்தூர் கவுண்டன்
tam_test_7,திருநெல்வேலி நாடார் சார்பாக இந்த படம் வெற்றி அடைய வாழ்த்துக்கள் பறையன் ரஞ்சித் மூஞ்சில் கறியை பூசிய தயாரிப்பாளர் அவர்களுக்கு மனமார்ந்த வாழ்த்துக்கள்
tam_test_8,"கயவர்களை துவம்சம் செய்ய , ஆண்டைகளின் மானம்  காக்க வருகிறாள் வன்னிய மக்களின் குலதெய்வம் #திரௌபதி !!! படத்தோட இயக்குனர் சொன்னது போல அப்பா மகள் மட்டும் சேர்ந்து படத்துக்கு தியேட்டர் சென்று பார்க்கவும் !!!"
tam_test_9,சிங்கம் 3னு சொன்னாங்க ஆனா ஒரு சிங்கத்தையும் காட்டல
tam_test_10,*அன்பே சிவம்*எங்களது பார்வையில்  . பார்த்து பகிருங்கள்
tam_test_11,காலா கபாலி போன்ற படங்களை தோலுறிக்க வந்த படம்தான் திரெளபதி
tam_test_12,பிறமலைகள்ளதேவர் சமுதாயம் சார்பாக இந்த படம் வெற்றி பெற வாழ்த்துகிறோம்
tam_test_13,"புத்தி கேட்ட மனசு பொடி வச்சு பேசும் ! சாதி மதம் பேதம் எல்லாம் நம்மள பிரிக்கும் தோஷம். காதல் பணம், ஜாதி பாத்து வராது."
tam_test_14,"என் சார்பாக 50 பேரை தியேட்டருக்கு கூப்ட்டு போவேன், 100 பேரை கூப்ட்டு போவேன் ன்னு ஒவ்வொரு சமுதாயத்தை சேர்ந்தவனும் ட்ரைலர் பாத்திட்டு கமெண்ட் பண்றாங்க ன்னா நாடக காதல் எத்தனை குடும்பங்களை சீரழிச்சு இருக்குது ன்னு தெரிய வருது.   வாழ்த்துக்கள் # திரெளபதி & டீம்"
tam_test_15,நான் அரசியலுக்கு வருவது உறுதி... இது 96
tam_test_16,அசுரன் பரியேறும் பெருமாள் இதெல்லாம் என்னைக்கோ நடந்தது அத சொன்னா புரட்சி வெங்காயம்மா ஆனா திரௌபதி இன்னைக்கு இப்ப நடக்கிற பிரச்சினை அதுல பொன்னை பெத்தவங்களா எங்க வலிய சொன்னா ஜாதி வெறியாம்  அப்படியே இருந்துட்டு போறம்
tam_test_17,"அசுரன் படத்தை பாராட்டி ஸ்டாலின் தனக்கு தானே குழி பறித்து கொன்டார், இந்த படத்தை எதிர்த்து வன்முறையை தூண்டுவார்"
tam_test_18,வெற்றி பேற வாழ்த்துகள் சிறந்த யுத்தியாக்கு சரியான பதிவு.. மிக்க மகிழ்ச்சி
tam_test_19,திருவண்ணாமலை வண்ணிய குல வீர சத்திரியர்கள் சார்பாக இந்த படம் வெற்றி அடைய வாழ்த்துக்கள் !!....
tam_test_20,நம்ம சுகந்திரத்த காரன்டேந்து வாங்கி அரசியல் வாதிட்ட கொடுதுடோம் 
tam_test_21,போலி ஜாதி ஒழிப்பு கட்சிகளின் முகமூடி கிழிப்பு. சரக்கு மிடுக்கு குருமா பதில் சொல்லாமல் சிதறி ஓட்டம். ஓசி சோறு சொரிமணி கதறல் புகார். ஏண்டா உங்களுக்கு வந்தா மட்டும் தான் ரத்தமா?
tam_test_22,போராடமா அவன் போக மாட்டான் சாக மாட்டான்!!! பறவை மாதிரி எரிக்க எரிக்க எழுந்து வருவான்!!! 
tam_test_23,சுடலை திமுக இந்த படத்துக்கு கருத்து சொல்லுடா
tam_test_24,கவுண்டர் சமுதாயம் சார்பாக வாழ்த்துக்கள் வெற லெவல்
tam_test_25,பகைய வளக்குறத விட அத கடக்குறது தான் முக்கியம்  #அசுரன்
tam_test_26,மதுரை முக்குலத்தோரின் சார்பாக என் வாழ்த்துக்கள்
tam_test_27,"தைரியமா இந்த மாதிரி ஒரு கதைய எடுத்த துக்கு...இது பல சில இயக்குனர்களுக்கும், ஜாதி ஓட்டு வங்கர்துகு சில அரசியல்வாதி, நாய்களுக்கும் ஒரு செருப்படியா இருக்கும்........ படம் வெற்றிபெற வாழ்த்துக்கள்......"
tam_test_28,தென் தமிழக புலிகள் - மறவர்கள் சார்பாக படம் வெற்றியடைய வாழ்த்துக்கள்
tam_test_29,குடும்பத்துடன் அணைவரும் சேர்ந்து பார்க்கும் திரைபடம்ன்னு சொல்வாங்கன்னு நெனச்சேன் பட் எமோசனல் சீன் போல
tam_test_30,"பொள்ளாச்சியில் பாதிக்க பட்ட முக்கால்வாசி பெண்கள் கவுண்ட பெண்கள் தான், உங்க சாதிவெறி கும்பல் என்னடா பண்ணிடிங்க, உங்க யுவராஜ் என்னா மயிரையா புடிங்கிகிட்டு இருந்தான், அதிகாரத்தில இருக்குறவங்க பூலைஊம்ப முடியல, அடித்தட்டு மக்கள் பூலை ஊம்ப வந்துட்டானுவ  ..."
tam_test_31,என்னடா கையாலயே சுடுரான் நா அப்படியே ஷாக் ஆய்ட்டேன்
tam_test_32,அகமுடையார் சார்பாக படம் வெற்றியடைய வாழ்த்துக்கள்
tam_test_33,செருப்ப கழட்டி அடிச்சமாதிரி இருக்கும் குருமா & குஞ்சித் குரூப்புக்கு🤣 கதறியே சாவுங்கடா புளு சட்டை பாய்ஸ். செங்குந்த முதலியார் சமூகம் சார்பாக படம் மாபெரும் வெற்றிபெற வாழ்த்துக்கள்
tam_test_34,நம்ம ஒரு ஏரியில் குதித்து விளையாடுவம்ல அது எங்க அது மேல்தான் நடக்குரொம் செம்ம
tam_test_35,"அடுத்த தலைவலி படம்..டிரைலருக்கு நன்றி...நல்ல வேளை தியேட்டரில் போயி மாட்டிக்கவில்லை..நச நசவென ஒரே மாதிரியான அரைச்ச மாவு சீன்ஸ்..பாட்டை ஆடியோ வெர்ஷன்ல கேட்பது நலம்...தாரே சமீன் பர் போன்ற( அஞ்சலி ஸ்டைல்)படங்களைத்தான் மக்கள் மணியிடம் இருந்து எதிர்பார்க்கிறார்கள்...இது போன்ற குப்பைகளை எடுக்க பல இயக்குனர்கள் இங்கு உள்ளனர்...இசையையும், கேமராவையும் தவிர மணி படத்தில் ஒரு விஷயமும் இருக்காது என்பது இந்த படமும் உதாரணம்."
tam_test_36,சொன்னா இதற்கு பெயர் தான் அஜீத் தல
tam_test_37,வேற லெவல்   இந்த மாதிரி படம் எடுக்கனுன்னு நெனச்ச இயக்குனருக்கு முதல் வணக்கம்   தாயாரிக்க முன்வந்த தயாரிப்பாளருக்கும் பட குழுவினருக்கும் மனமார்ந்த வாழ்த்துக்கள்
tam_test_38,# திரௌபதி ரசிகர்படையே... இதோ வாரான்டா # கர்ணன்
tam_test_39,திரௌபதி gang bang mom  அருமையாக நடித்துள்ளார்கள் சகோ
tam_test_40,எங்கள் ஊரில் அனைத்து மக்களும் இலவசமாக திரெளபதி படம் பார்க்க  பேருந்தில் அழைத்து செல்ல போகிறோம்..
tam_test_41,என்னடா இன்னும் எவனும் வராம இருக்கான்....பரம்பரை சொத்துக்காரன எங்க
tam_test_42,வாரே... வா செம ஆக்சன் பேக் இருக்கு.
